Date,Open,High,Low,Close,Volume,Adj Close
2011-04-15,45.53,45.88,45.23,45.69,719600,45.69
2011-04-14,45.44,45.99,45.35,45.54,1131400,45.54
2011-04-13,45.08,45.88,45.06,45.68,1090800,45.68
2011-04-12,44.94,45.21,44.56,44.72,1387100,44.72
2011-04-11,45.78,45.80,45.12,45.15,767800,45.15
2011-04-08,45.60,46.28,45.60,45.97,1136700,45.97
2011-04-07,45.22,45.66,45.07,45.11,1050900,45.11
2011-04-06,45.44,45.55,45.06,45.25,894200,45.25
2011-04-05,44.90,45.38,44.90,45.30,1022300,45.30
2011-04-04,44.60,44.99,44.55,44.90,780900,44.90
2011-04-01,44.20,44.78,44.12,44.70,1068300,44.70
2011-03-31,44.41,44.58,44.01,44.01,665900,44.01
2011-03-30,44.55,44.69,44.08,44.44,668200,44.44
2011-03-29,44.04,44.39,43.62,44.30,726600,44.30
2011-03-28,43.99,44.34,43.81,44.00,691700,44.00
2011-03-25,44.12,44.33,43.79,44.10,1038900,44.10
2011-03-24,42.60,44.00,42.31,43.88,1604000,43.88
2011-03-23,41.76,42.65,41.58,42.60,1244900,42.60
2011-03-22,42.46,42.53,41.57,41.76,1281700,41.76
2011-03-21,42.09,42.58,41.50,42.54,1349100,42.54
2011-03-18,41.17,41.76,40.47,41.42,2525000,41.42
2011-03-17,40.45,41.10,40.00,41.06,1784000,41.06
2011-03-16,41.50,41.70,40.16,40.16,1925800,40.16
2011-03-15,41.44,41.69,40.42,41.32,2102500,41.32
2011-03-14,42.26,42.90,41.70,42.10,1441100,42.10
2011-03-11,42.99,43.17,42.27,42.28,1483600,42.28
2011-03-10,42.90,43.67,42.74,43.19,1274800,43.19
2011-03-09,44.07,44.10,42.94,43.01,1599900,43.01
2011-03-08,43.60,44.10,43.49,44.08,1167400,44.08
2011-03-07,43.43,44.33,43.15,43.49,985300,43.49
2011-03-04,44.19,44.90,43.57,43.62,1442900,43.62
2011-03-03,43.46,44.38,43.10,44.19,1683400,44.19
2011-03-02,43.50,43.65,42.70,43.24,1624500,43.24
2011-03-01,43.95,45.22,43.84,43.91,1858800,43.91
2011-02-28,44.10,44.19,43.46,43.94,1444700,43.94
2011-02-25,43.94,44.43,43.37,44.17,1648000,44.17
2011-02-24,44.00,44.13,43.40,43.70,2198500,43.70
2011-02-23,45.26,45.70,44.08,44.51,2812800,44.51
2011-02-22,46.03,46.38,45.17,45.53,1979700,45.53
2011-02-21,47.93,47.94,46.53,46.55,1805600,46.55
2011-02-18,47.02,48.37,46.84,47.90,4945700,47.90
2011-02-17,45.46,45.99,45.46,45.99,978600,45.99
2011-02-16,45.71,46.25,45.42,45.72,1001400,45.72
2011-02-15,46.19,46.47,45.81,45.88,984400,45.88
2011-02-14,46.74,46.85,45.90,46.33,1492000,46.33
2011-02-11,44.79,46.83,44.01,46.50,3435300,46.50
2011-02-10,45.00,45.44,44.24,45.44,1708700,45.44
2011-02-09,44.99,45.49,44.61,45.12,883000,45.12
2011-02-08,45.06,45.28,44.45,45.13,920700,45.13
2011-02-07,44.12,45.41,44.12,45.17,1536600,45.17
2011-02-04,43.78,44.17,43.26,44.10,1683600,44.10
